raw_customer_id,first_name,last_name,email,customer_tier,city,state,country,updated_at
CUST-0001,David ,Rodriguez,David.Rodriguez1@Example.Com,Bronze,Chicago,IL,USA,2024-01-01 09:00:00
CUST-0002,Jane ,Rodriguez,Jane.Rodriguez2@Example.Com,Gold,Berlin,BER,Germany,2024-01-01 09:00:00
CUST-0003,Michael ,Johnson,Michael.Johnson3@Example.Com,Platinum,Chicago,IL,USA,2024-01-01 09:00:00
CUST-0004,James ,Jones,James.Jones4@Example.Com,Silver,Toronto,ON,Canada,2024-01-01 09:00:00
CUST-0005,Jane ,Jones,Jane.Jones5@Example.Com,Silver,Berlin,BER,Germany,2024-01-01 09:00:00
CUST-0006,Alice ,Rodriguez,Alice.Rodriguez6@Example.Com,Bronze,Berlin,BER,Germany,2024-01-01 09:00:00
CUST-0007,Jane ,Garcia,Jane.Garcia7@Example.Com,Gold,Berlin,BER,Germany,2024-01-01 09:00:00
CUST-0008,Robert ,Martinez,Robert.Martinez8@Example.Com,Bronze,New York,NY,USA,2024-01-01 09:00:00
CUST-0009,Jane ,Rodriguez,Jane.Rodriguez9@Example.Com,Silver,Berlin,BER,Germany,2024-01-01 09:00:00
CUST-0010,Alice ,Jones,Alice.Jones10@Example.Com,Platinum,Toronto,ON,Canada,2024-01-01 09:00:00
CUST-0011,Jessica ,Brown,Jessica.Brown11@Example.Com,Gold,London,ENG,UK,2024-01-01 09:00:00
CUST-0012,Laura ,Garcia,Laura.Garcia12@Example.Com,Platinum,Houston,TX,USA,2024-01-01 09:00:00
CUST-0013,Michael ,Smith,Michael.Smith13@Example.Com,Silver,Toronto,ON,Canada,2024-01-01 09:00:00
CUST-0014,John ,Johnson,John.Johnson14@Example.Com,Bronze,London,ENG,UK,2024-01-01 09:00:00
CUST-0015,John ,Garcia,John.Garcia15@Example.Com,Silver,New York,NY,USA,2024-01-01 09:00:00
CUST-0016,Jessica ,Williams,Jessica.Williams16@Example.Com,Platinum,London,ENG,UK,2024-01-01 09:00:00
CUST-0017,David ,Miller,David.Miller17@Example.Com,,Los Angeles,CA,USA,2024-01-01 09:00:00
CUST-0018,Sarah ,Garcia,Sarah.Garcia18@Example.Com,Platinum,Houston,TX,USA,2024-01-01 09:00:00
CUST-0019,Laura ,Johnson,Laura.Johnson19@Example.Com,Platinum,New York,NY,USA,2024-01-01 09:00:00
CUST-0020,Jane ,Brown,Jane.Brown20@Example.Com,Silver,Los Angeles,CA,USA,2024-01-01 09:00:00
CUST-0021,Alice ,Miller,Alice.Miller21@Example.Com,Gold,Los Angeles,CA,USA,2024-01-01 09:00:00
CUST-0022,Jessica ,Johnson,Jessica.Johnson22@Example.Com,Bronze,New York,NY,USA,2024-01-01 09:00:00
CUST-0023,Robert ,Williams,Robert.Williams23@Example.Com,Platinum,Houston,TX,USA,2024-01-01 09:00:00
CUST-0024,Sarah ,Smith,Sarah.Smith24@Example.Com,,Los Angeles,CA,USA,2024-01-01 09:00:00
CUST-0025,David ,Jones,David.Jones25@Example.Com,Platinum,Houston,TX,USA,2024-01-01 09:00:00
CUST-0026,Emily ,Brown,Emily.Brown26@Example.Com,Bronze,New York,NY,USA,2024-01-01 09:00:00
CUST-0027,John ,Smith,John.Smith27@Example.Com,Platinum,Toronto,ON,Canada,2024-01-01 09:00:00
CUST-0028,John ,Rodriguez,John.Rodriguez28@Example.Com,,New York,NY,USA,2024-01-01 09:00:00
CUST-0029,Jane ,Brown,Jane.Brown29@Example.Com,Bronze,Houston,TX,USA,2024-01-01 09:00:00
CUST-0030,Daniel ,Brown,Daniel.Brown30@Example.Com,Bronze,Toronto,ON,Canada,2024-01-01 09:00:00
CUST-0031,Daniel ,Martinez,Daniel.Martinez31@Example.Com,Gold,Toronto,ON,Canada,2024-01-01 09:00:00
